date,platform,campaign_type,industry,country,impressions,clicks,CTR,CPC,ad_spend,conversions,CPA,revenue,ROAS,ctr_calc,cpc_calc,conversion_rate,cpa_calc,roas_calc
2024-01-21,Google Ads,Search,Fintech,UAE,59886,2113,0.0353,1.26,2662.38,159,16.74,4803.43,1.8,0.03528370570751094,1.26,0.07524846190250828,16.744528301886792,1.8041864797662241
2024-01-22,TikTok Ads,Search,EdTech,UK,135608,5220,0.0385,1.18,6159.6,411,14.99,64126.68,10.41,0.038493304229838946,1.1800000000000002,0.07873563218390804,14.986861313868614,10.410851353984024
2024-06-15,TikTok Ads,Video,Healthcare,USA,92313,5991,0.0649,0.85,5092.35,267,19.07,10489.07,2.06,0.06489876832082156,0.8500000000000001,0.04456685027541312,19.072471910112363,2.0597700472277043
2024-01-02,TikTok Ads,Shopping,SaaS,Germany,83953,5935,0.0707,1.32,7834.2,296,26.47,50505.07,6.45,0.07069431705835408,1.32,0.04987363100252738,26.46689189189189,6.4467424880651505
2024-02-22,TikTok Ads,Search,Healthcare,UK,91807,4489,0.0489,1.93,8663.77,107,80.97,3369.53,0.39,0.04889605367782413,1.9300000000000002,0.02383604366228559,80.96981308411215,0.3889219127469912
2024-10-15,TikTok Ads,Search,Fintech,Canada,17666,724,0.041,0.37,267.88,23,11.65,5220.85,19.49,0.04098267859164497,0.37,0.031767955801104975,11.64695652173913,19.489510228460507
2024-08-14,Meta Ads,Video,Fintech,USA,118252,3748,0.0317,0.42,1574.16,152,10.36,12838.56,8.16,0.03169502418563745,0.42000000000000004,0.04055496264674493,10.356315789473685,8.15581643543223
2024-04-05,TikTok Ads,Search,EdTech,UAE,92939,5176,0.0557,0.66,3416.16,388,8.8,96298.69,28.19,0.0556924434306373,0.6599999999999999,0.07496136012364761,8.804536082474227,28.1891626855885
2024-04-17,Meta Ads,Display,EdTech,Germany,30939,937,0.0303,0.59,552.83,63,8.78,16531.03,29.9,0.030285400303823654,0.5900000000000001,0.0672358591248666,8.775079365079366,29.902555939438884
2024-11-13,Google Ads,Shopping,Fintech,USA,8748,362,0.0414,1.21,438.02,10,43.8,966.57,2.21,0.0413808870598994,1.21,0.027624309392265192,43.802,2.206680060271221
2024-04-22,Meta Ads,Video,E-commerce,UAE,98264,3144,0.032,1.56,4904.64,129,38.02,23127.27,4.72,0.03199544085321176,1.56,0.04103053435114504,38.02046511627907,4.715385838715991
2024-09-11,Meta Ads,Video,Fintech,Canada,173229,5092,0.0294,1.72,8758.24,65,134.74,12320.17,1.41,0.029394616374856405,1.72,0.012765121759622938,134.74215384615385,1.4066947240541479
2024-05-26,Meta Ads,Video,SaaS,Canada,147483,2138,0.0145,0.57,1218.66,159,7.66,42434.18,34.82,0.014496586047205441,0.5700000000000001,0.07436856875584659,7.664528301886793,34.82036006761525
2024-02-29,Google Ads,Shopping,SaaS,USA,116472,4006,0.0344,2.68,10736.08,291,36.89,78428.38,7.31,0.03439453259152414,2.68,0.07264103844233649,36.89374570446736,7.305122540070491
2024-04-22,TikTok Ads,Shopping,EdTech,Canada,37711,2111,0.056,0.68,1435.48,92,15.6,13898.86,9.68,0.05597836175121317,0.68,0.04358124111795358,15.60304347826087,9.682378019895785
2024-10-15,TikTok Ads,Shopping,E-commerce,Germany,96412,7047,0.0731,1.11,7822.17,194,40.32,36717.43,4.69,0.07309256109198026,1.11,0.02752944515396623,40.32046391752577,4.694020968605899
2024-08-13,TikTok Ads,Video,Fintech,Canada,184476,8854,0.048,0.35,3098.9,198,15.65,56216.92,18.14,0.04799540319607971,0.35000000000000003,0.022362773887508472,15.651010101010101,18.140927425860788
2024-08-20,TikTok Ads,Search,Fintech,Germany,38828,3607,0.0929,0.97,3498.79,116,30.16,8788.51,2.51,0.09289687854125889,0.97,0.03215968949265317,30.161982758620688,2.511871246916791
2024-12-25,Meta Ads,Video,SaaS,Canada,187957,4586,0.0244,2.1,9630.6,271,35.54,34433.97,3.58,0.024399197688833085,2.1,0.059092891408634975,35.53726937269373,3.575475048283596
2024-11-01,Google Ads,Video,SaaS,Canada,34592,1615,0.0467,1.15,1857.25,116,16.01,4344.96,2.34,0.04668709528214616,1.15,0.0718266253869969,16.010775862068964,2.339458877372459
2024-07-04,Meta Ads,Shopping,Fintech,USA,185798,5889,0.0317,0.9,5300.1,400,13.25,41326.63,7.8,0.03169571254803604,0.9,0.06792324673119375,13.250250000000001,7.797330239052092
2024-12-30,TikTok Ads,Video,EdTech,India,194407,13122,0.0675,0.85,11153.7,379,29.43,56289.95,5.05,0.0674975695319613,0.8500000000000001,0.028882792257277853,29.429287598944594,5.046751302258443
2024-11-13,Google Ads,Search,SaaS,UAE,188062,8143,0.0433,1.8,14657.4,614,23.87,124232.5,8.48,0.04329955014835533,1.8,0.0754021859265627,23.871986970684038,8.47575286203556
2024-12-14,Meta Ads,Shopping,Healthcare,India,195710,4481,0.0229,0.53,2374.93,352,6.75,27223.39,11.46,0.022896121812886413,0.5299999999999999,0.07855389422004017,6.7469602272727265,11.462817851473517
2024-04-09,Google Ads,Display,Healthcare,Australia,198824,9046,0.0455,3.61,32656.06,407,80.24,71482.19,2.19,0.04549752544964391,3.6100000000000003,0.04499226177315941,80.23601965601966,2.1889410418770665
2024-06-08,Meta Ads,Shopping,SaaS,USA,196962,5081,0.0258,2.06,10466.86,282,37.12,24196.95,2.31,0.02579685421553396,2.06,0.05550088565243062,37.11652482269504,2.3117678081105506
2024-08-29,Google Ads,Shopping,SaaS,UAE,105386,3783,0.0359,1.82,6885.06,130,52.96,36776.35,5.34,0.03589660865769647,1.82,0.03436426116838488,52.962,5.341471243533099
2024-09-05,Google Ads,Search,Healthcare,UAE,49425,1996,0.0404,1.27,2534.92,98,25.87,9253.27,3.65,0.04038442083965604,1.27,0.04909819639278557,25.866530612244897,3.6503203256907515
2024-12-26,Meta Ads,Video,E-commerce,Canada,191141,4453,0.0233,1.23,5477.19,72,76.07,8367.46,1.53,0.02329693786262497,1.23,0.01616887491578711,76.07208333333332,1.5276921194992321
2024-05-23,TikTok Ads,Shopping,EdTech,Canada,91900,4696,0.0511,0.53,2488.88,367,6.78,109696.83,44.07,0.051099020674646355,0.53,0.07815161839863714,6.781689373297003,44.07477660634502
2024-11-26,Google Ads,Video,Healthcare,Canada,11801,795,0.0674,2.97,2361.15,57,41.42,3966.25,1.68,0.06736717227353614,2.97,0.07169811320754717,41.42368421052632,1.6797958621857991
2024-11-16,Meta Ads,Display,Fintech,UAE,193926,5837,0.0301,1.0,5837.0,193,30.24,28429.29,4.87,0.030099109969782288,1.0,0.033064930615041975,30.243523316062177,4.870531094740449
2024-02-27,Google Ads,Display,EdTech,India,35355,961,0.0272,2.22,2133.42,68,31.37,6145.22,2.88,0.027181445340121624,2.22,0.07075962539021852,31.373823529411766,2.880454856521454
2024-11-12,TikTok Ads,Shopping,Healthcare,UAE,133148,9120,0.0685,0.5,4560.0,279,16.34,83385.98,18.29,0.06849520833959204,0.5,0.030592105263157896,16.344086021505376,18.286399122807016
